symbol,interval,open_time,open,high,low,close,volume,close_time,quote_volume,trade_count,taker_buy_base_volume,taker_buy_quote_volume,price_range,price_change,percent_change,candle_direction
ADAUSDT,1h,2026-06-17 10:00:00+00:00,0.1693,0.1698,0.1688,0.1692,3066215.2,2026-06-17 10:59:59.999000+00:00,518969.14501,3417.0,1450389.5,245453.23118,0.001,-0.0001,-0.0590667454223371,down
ADAUSDT,1h,2026-06-29 13:00:00+00:00,0.145,0.1461,0.1436,0.1448,10787848.3,2026-06-29 13:59:59.999000+00:00,1559032.0717,7272.0,5114102.3,739291.82701,0.0025,-0.0001999999999999,-0.1379310344827434,down
ADAUSDT,1h,2026-06-16 16:00:00+00:00,0.1741,0.1749,0.1729,0.1731,6486237.9,2026-06-16 16:59:59.999000+00:00,1128311.16563,4277.0,3149976.1,548002.70995,0.002,-0.001,-0.5743825387708219,down
ADAUSDT,1h,2026-06-04 08:00:00+00:00,0.1949,0.1957,0.1928,0.1936,7308750.8,2026-06-04 08:59:59.999000+00:00,1418186.93931,9182.0,3700012.6,718057.52418,0.0029,-0.0012999999999999,-0.6670087224217526,down
ADAUSDT,1h,2026-06-20 08:00:00+00:00,0.1629,0.1632,0.1622,0.1628,2536279.4,2026-06-20 08:59:59.999000+00:00,412690.07645,1977.0,1391894.8,226501.53835,0.001,-9.9999999999989e-05,-0.061387354205027,down
AVAXUSDT,1h,2026-06-28 09:00:00+00:00,6.369,6.395,6.313,6.327,68919.0,2026-06-28 09:59:59.999000+00:00,438486.43903,6881.0,36507.18,232335.61913,0.0819999999999998,-0.0419999999999998,-0.6594441827602421,down
AVAXUSDT,1h,2026-05-21 04:00:00+00:00,9.384,9.402,9.355,9.388,91168.93,2026-05-21 04:59:59.999000+00:00,855598.22063,4366.0,43352.75,406905.11082,0.0469999999999988,0.0039999999999995,0.0426257459505494,up
AVAXUSDT,1h,2026-06-11 14:00:00+00:00,6.585,6.597,6.523,6.544,137067.73,2026-06-11 14:59:59.999000+00:00,898512.25406,9789.0,65217.22,427588.9592,0.0740000000000007,-0.0410000000000003,-0.6226271829916533,down
AVAXUSDT,1h,2026-06-09 14:00:00+00:00,6.69,6.705,6.531,6.61,214710.31,2026-06-09 14:59:59.999000+00:00,1416060.05247,26433.0,98820.94,651989.42114,0.1740000000000003,-0.08,-1.195814648729448,down
AVAXUSDT,1h,2026-06-11 20:00:00+00:00,6.668,6.678,6.607,6.634,88511.91,2026-06-11 20:59:59.999000+00:00,587240.40114,4185.0,37989.88,252020.0837,0.0709999999999997,-0.0339999999999998,-0.5098980203959179,down
BNBUSDT,1h,2026-06-02 07:00:00+00:00,683.31,686.39,680.54,681.84,8335.776,2026-06-02 07:59:59.999000+00:00,5694636.70945,58881.0,3152.441,2154240.41315,5.850000000000023,-1.4699999999999136,-0.215129297097937,down
BNBUSDT,1h,2026-06-19 21:00:00+00:00,581.7,582.47,579.86,580.14,1761.259,2026-06-19 21:59:59.999000+00:00,1023458.47532,10115.0,929.071,539873.28316,2.6100000000000136,-1.5600000000000591,-0.2681794739556574,down
BNBUSDT,1h,2026-05-31 07:00:00+00:00,735.94,735.94,716.67,719.71,35886.456,2026-05-31 07:59:59.999000+00:00,25979457.12452,157745.0,16356.602,11838212.11133,19.270000000000092,-16.230000000000018,-2.205342826860888,down
BNBUSDT,1h,2026-05-26 01:00:00+00:00,659.52,659.79,656.04,657.7,4419.569,2026-05-26 01:59:59.999000+00:00,2906493.58908,38438.0,2205.48,1450430.86666,3.75,-1.8199999999999363,-0.2759582726831538,down
BNBUSDT,1h,2026-06-17 08:00:00+00:00,606.63,606.69,601.42,602.43,7990.251,2026-06-17 08:59:59.999000+00:00,4821953.05926,36820.0,2796.546,1686670.48053,5.270000000000096,-4.2000000000000455,-0.6923495376094235,down
BTCUSDT,1h,2026-06-04 12:00:00+00:00,62546.0,63966.48,62392.0,63766.82,1740.31399,2026-06-04 12:59:59.999000+00:00,110086882.337967,474573.0,957.63903,60592586.5473012,1574.4800000000032,1220.8199999999997,1.951875419691107,up
BTCUSDT,1h,2026-06-06 17:00:00+00:00,60774.0,60844.0,60501.0,60576.2,599.85374,2026-06-06 17:59:59.999000+00:00,36390952.705869,131616.0,293.30339,17800883.0632946,343.0,-197.8000000000029,-0.3254681278178216,down
BTCUSDT,1h,2026-06-19 05:00:00+00:00,62452.01,62744.92,62452.0,62739.2,361.83315,2026-06-19 05:59:59.999000+00:00,22661555.4101311,92897.0,188.19809,11785622.7003959,292.91999999999825,287.18999999999505,0.4598570966731015,up
BTCUSDT,1h,2026-06-17 04:00:00+00:00,65852.0,66048.19,65788.31,65892.0,473.33682,2026-06-17 04:59:59.999000+00:00,31190416.5323119,56980.0,237.24159,15633573.3833226,259.88000000000466,40.0,0.060742270546073,up
BTCUSDT,1h,2026-06-14 09:00:00+00:00,64456.33,64617.99,64321.18,64616.0,237.3813,2026-06-14 09:59:59.999000+00:00,15298521.4871383,48596.0,107.4067,6925372.5467825,296.8099999999977,159.66999999999825,0.2477181061968595,up
DOGEUSDT,1h,2026-06-15 19:00:00+00:00,0.08933,0.08974,0.08859,0.089,39514757.0,2026-06-15 19:59:59.999000+00:00,3520571.12956,35026.0,16483442.0,1468822.22918,0.0011499999999999,-0.00033,-0.369416769282448,down
DOGEUSDT,1h,2026-05-24 10:00:00+00:00,0.10329,0.10394,0.10291,0.10306,27839522.0,2026-05-24 10:59:59.999000+00:00,2877082.01713,18374.0,14451092.0,1493587.80006,0.00103,-0.00023,-0.2226740245909652,down
DOGEUSDT,1h,2026-07-01 03:00:00+00:00,0.072,0.07251,0.07186,0.07235,14367762.0,2026-07-01 03:59:59.999000+00:00,1037298.81369,16294.0,9453870.0,682716.50171,0.00065,0.00035,0.4861111111111154,up
DOGEUSDT,1h,2026-06-10 15:00:00+00:00,0.08453,0.08547,0.08402,0.08513,41023860.0,2026-06-10 15:59:59.999000+00:00,3475650.40704,49813.0,24300818.0,2059318.69625,0.00145,0.0006,0.7098071690524114,up
DOGEUSDT,1h,2026-05-30 12:00:00+00:00,0.10086,0.10097,0.1007,0.10095,16910155.0,2026-05-30 12:59:59.999000+00:00,1704686.8456,11429.0,5436044.0,548063.14185,0.00027,8.999999999999286e-05,0.0892325996430625,up
DOTUSDT,1h,2026-06-29 20:00:00+00:00,0.831,0.832,0.826,0.826,178926.34,2026-06-29 20:59:59.999000+00:00,148462.3487,801.0,76709.05,63691.38018,0.006,-0.005,-0.6016847172081835,down
DOTUSDT,1h,2026-06-30 12:00:00+00:00,0.811,0.812,0.802,0.803,381774.83,2026-06-30 12:59:59.999000+00:00,308044.1683,1381.0,129962.86,104899.06832,0.01,-0.008,-0.9864364981504324,down
DOTUSDT,1h,2026-05-29 19:00:00+00:00,1.203,1.204,1.187,1.192,448172.31,2026-05-29 19:59:59.999000+00:00,535978.07008,2289.0,203716.01,243542.96919,0.0169999999999999,-0.0110000000000001,-0.914380714879478,down
DOTUSDT,1h,2026-06-17 04:00:00+00:00,1.026,1.033,1.023,1.028,160602.09,2026-06-17 04:59:59.999000+00:00,165042.01878,906.0,73515.09,75502.53888,0.01,0.002,0.1949317738791424,up
DOTUSDT,1h,2026-06-17 02:00:00+00:00,1.031,1.037,1.025,1.032,331895.05,2026-06-17 02:59:59.999000+00:00,342256.37058,1688.0,153931.64,158767.13955,0.012,0.0010000000000001,0.0969932104752775,up
ETHUSDT,1h,2026-07-01 15:00:00+00:00,1601.19,1631.0,1600.98,1620.09,28006.7756,2026-07-01 15:59:59.999000+00:00,45381649.690498,203030.0,13464.1846,21813810.003142,30.019999999999985,18.899999999999864,1.1803720982519166,up
ETHUSDT,1h,2026-06-16 14:00:00+00:00,1797.86,1805.57,1763.36,1780.56,37636.9685,2026-06-16 14:59:59.999000+00:00,67095594.342737,432145.0,17353.4452,30932170.349361,42.21000000000004,-17.299999999999955,-0.9622551255381372,down
ETHUSDT,1h,2026-06-03 15:00:00+00:00,1858.51,1859.75,1836.21,1837.21,29759.5409,2026-06-03 15:59:59.999000+00:00,54931955.800767,322052.0,16266.7633,30029211.395313,23.539999999999964,-21.299999999999955,-1.146079386174944,down
ETHUSDT,1h,2026-06-17 12:00:00+00:00,1763.93,1765.99,1742.94,1759.44,22647.9494,2026-06-17 12:59:59.999000+00:00,39685399.500059,243198.0,10329.1011,18095427.91008,23.049999999999955,-4.490000000000009,-0.2545452483942111,down
ETHUSDT,1h,2026-06-16 19:00:00+00:00,1799.2,1801.04,1790.14,1795.41,11864.4825,2026-06-16 19:59:59.999000+00:00,21306393.384812,151718.0,5565.3447,9994605.544873,10.899999999999864,-3.789999999999964,-0.2106491774121811,down
LINKUSDT,1h,2026-06-03 18:00:00+00:00,8.31,8.359,8.239,8.349,92866.0,2026-06-03 18:59:59.999000+00:00,771095.93042,8787.0,40375.63,335402.22509,0.1199999999999992,0.0389999999999997,0.469314079422379,up
LINKUSDT,1h,2026-06-27 01:00:00+00:00,7.354,7.361,7.341,7.355,17710.31,2026-06-27 01:59:59.999000+00:00,130188.20887,1306.0,9748.82,71667.3619,0.0199999999999995,0.0010000000000003,0.0135980418819735,up
LINKUSDT,1h,2026-06-02 13:00:00+00:00,8.837,8.876,8.824,8.846,94977.51,2026-06-02 13:59:59.999000+00:00,840285.33043,9419.0,32798.83,290160.26609,0.0519999999999996,0.0090000000000003,0.1018445173701521,up
LINKUSDT,1h,2026-05-26 00:00:00+00:00,9.506,9.509,9.392,9.441,74342.81,2026-05-26 00:59:59.999000+00:00,702343.97164,5094.0,24183.14,228496.57864,0.1170000000000008,-0.0649999999999995,-0.6837786661056122,down
LINKUSDT,1h,2026-05-25 05:00:00+00:00,9.477,9.528,9.474,9.513,57654.3,2026-05-25 05:59:59.999000+00:00,547942.52441,4420.0,30732.18,292056.65884,0.0540000000000002,0.0359999999999995,0.3798670465337088,up
SOLUSDT,1h,2026-05-27 19:00:00+00:00,83.94,84.14,83.87,83.91,62313.648,2026-05-27 19:59:59.999000+00:00,5234434.61626,19323.0,34330.108,2883606.45121,0.269999999999996,-0.0300000000000011,-0.0357398141529677,down
SOLUSDT,1h,2026-06-16 20:00:00+00:00,73.85,74.26,73.67,74.14,59635.319,2026-06-16 20:59:59.999000+00:00,4415291.91413,27981.0,30075.861,2226705.51458,0.5900000000000034,0.2900000000000062,0.3926878808395481,up
SOLUSDT,1h,2026-06-14 09:00:00+00:00,68.25,68.5,67.92,68.47,53948.603,2026-06-14 09:59:59.999000+00:00,3679420.41333,15315.0,24961.777,1703326.81086,0.5799999999999983,0.2199999999999988,0.3223443223443207,up
SOLUSDT,1h,2026-06-18 19:00:00+00:00,68.66,69.53,68.57,69.37,89639.557,2026-06-18 19:59:59.999000+00:00,6188696.00517,39867.0,50521.798,3487784.27794,0.960000000000008,0.710000000000008,1.0340809787358112,up
SOLUSDT,1h,2026-06-24 01:00:00+00:00,70.0,70.41,69.67,70.09,80642.47,2026-06-24 01:59:59.999000+00:00,5653709.29805,31944.0,43072.718,3019627.52162,0.7399999999999949,0.0900000000000034,0.1285714285714334,up
XRPUSDT,1h,2026-06-28 19:00:00+00:00,1.0468,1.0494,1.0391,1.0446,2166900.0,2026-06-28 19:59:59.999000+00:00,2260416.73849,17161.0,1145758.7,1195435.86325,0.0103000000000001,-0.0021999999999999,-0.2101643102789434,down
XRPUSDT,1h,2026-06-16 16:00:00+00:00,1.2098,1.2145,1.2086,1.2129,3073122.1,2026-06-16 16:59:59.999000+00:00,3723847.39226,36348.0,1185291.6,1436517.04976,0.0059,0.0031000000000001,0.256240700942313,up
XRPUSDT,1h,2026-06-22 18:00:00+00:00,1.1395,1.1438,1.1318,1.1331,2699751.7,2026-06-22 18:59:59.999000+00:00,3072770.21253,16956.0,1078979.7,1227830.52749,0.012,-0.0063999999999999,-0.5616498464238667,down
XRPUSDT,1h,2026-05-24 12:00:00+00:00,1.3652,1.3655,1.3608,1.3627,2225147.8,2026-05-24 12:59:59.999000+00:00,3032718.71582,8906.0,880419.3,1199774.23579,0.0046999999999999,-0.0024999999999999,-0.1831233518898291,down
XRPUSDT,1h,2026-05-28 20:00:00+00:00,1.316,1.3249,1.3104,1.3205,2871975.8,2026-05-28 20:59:59.999000+00:00,3784007.56425,21549.0,1489567.0,1961488.40771,0.0144999999999999,0.0044999999999999,0.3419452887537954,up
